product_name,link,startech_rice,brand
Gigabyte B360 Aorus Gaming 3 WiFi 8th Gen DDR4 Motherboard,https://www.startech.com.bd/gigabyte-b360-aorus-gaming-3-wifi-motherboard,"11,200",Gigabyte
Asus ROG STRIX B360-H GAMING 8th Gen ATX Motherboard,https://www.startech.com.bd/asus-rog-strix-b360-h-gaming-motherboard,"11,500",Asus
Gigabyte X299 AORUS Gaming 3 Motherboard,https://www.startech.com.bd/gigabyte-x299-aorus-gaming-3-motherboard,"27,500",Gigabyte
ASRock X399 Taichi USB 3.1 ATX AMD Motherboard,https://www.startech.com.bd/asrock-x399-taichi,"36,600",ASRock
Asrock Z390 Extreme4 9th Gen Atx Motherboard,https://www.startech.com.bd/asrock-z390-extreme4-motherboard,"17,750",Asrock
Asus TUF B360-PRO GAMING (WI-FI) 8th Gen ATX Motherboard,https://www.startech.com.bd/asus-tuf-b360-pro-gaming-wi-fi-motherboard,"12,500",Asus
Gigabyte Z370M D3H Ultra Durable 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-z370m-d3h-8th-gen-motherboard,"12,200",Gigabyte
ASRock Fatal1ty X399 Professional Gaming AMD Motherboard,https://www.startech.com.bd/asrock-x399-gaming-motherboard,"44,600",ASRock
Asrock Z370 Taichi USB 3.1 8th Gen WiFi Motherboard,https://www.startech.com.bd/asrock-z370-taichi-8th-gen-motherboard,"19,500",Asrock
Asus Rog Strix B360-F GAMING 8th Gen Motherboard,https://www.startech.com.bd/asus-rog-strix-b360-f-motherboard,"13,150",Asus
Asus TUF H370-PRO GAMING (WI-FI) 8th Gen ATX Motherboard,https://www.startech.com.bd/asus-tuf-h370-pro-gaming-wi-fI-motherboard,"13,500",Asus
Gigabyte Z370 HD3 Ultra Durable Motherboard ,https://www.startech.com.bd/gigabyte-z370-hd3-motherboard,"13,000",Gigabyte
Asus ROG STRIX B360-I GAMING 8th Gen mini-ITX Motherboard,https://www.startech.com.bd/asus-rog-strix-b360-i-gaming-mini-itx-motherboard,"14,000",Asus
ASUS PRIME Z370-P LGA1151 DDR4 HDMI DVI M.2 ATX Motherboard,https://www.startech.com.bd/asus-prime-z370-p,"14,650",ASUS
Gigabyte H370 AORUS GAMING 3 WIFI 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-h370-aorus-gaming-3-wifi-motherboard,"14,000",Gigabyte
ASRock Fatal1ty X299 Gaming K6 Intel ATX Motherboard ,https://www.startech.com.bd/asrock-fatal1ty-x299-gaming-k6-motherboard,"24,000",ASRock
ASUS PRIME Z390M-PLUS 9th Gen mATX Motherboard,https://www.startech.com.bd/asus-prime-z390m-plus-9th-gen-motherboard,"15,000",ASUS
